,hour,occupancy
144,2016-02-07 00:00:00,32.0
145,2016-02-07 01:00:00,32.0
146,2016-02-07 02:00:00,31.0
147,2016-02-07 03:00:00,30.0
148,2016-02-07 04:00:00,31.0
149,2016-02-07 05:00:00,31.0
150,2016-02-07 06:00:00,32.0
151,2016-02-07 07:00:00,35.0
152,2016-02-07 08:00:00,49.0
153,2016-02-07 09:00:00,68.0
154,2016-02-07 10:00:00,91.0
155,2016-02-07 11:00:00,99.0
156,2016-02-07 12:00:00,105.0
157,2016-02-07 13:00:00,76.0
158,2016-02-07 14:00:00,64.0
159,2016-02-07 15:00:00,59.0
160,2016-02-07 16:00:00,56.0
161,2016-02-07 17:00:00,47.0
162,2016-02-07 18:00:00,40.0
163,2016-02-07 19:00:00,38.0
164,2016-02-07 20:00:00,35.0
165,2016-02-07 21:00:00,33.0
166,2016-02-07 22:00:00,33.0
167,2016-02-07 23:00:00,31.0
168,2016-02-08 00:00:00,27.0
169,2016-02-08 01:00:00,27.0
170,2016-02-08 02:00:00,26.0
171,2016-02-08 03:00:00,26.0
172,2016-02-08 04:00:00,48.0
173,2016-02-08 05:00:00,207.0
174,2016-02-08 06:00:00,736.0
175,2016-02-08 07:00:00,1441.0
176,2016-02-08 08:00:00,1978.0
177,2016-02-08 09:00:00,2121.0
178,2016-02-08 10:00:00,2164.0
179,2016-02-08 11:00:00,2178.0
180,2016-02-08 12:00:00,2164.0
181,2016-02-08 13:00:00,2172.0
182,2016-02-08 14:00:00,2147.0
183,2016-02-08 15:00:00,2093.0
184,2016-02-08 16:00:00,1885.0
185,2016-02-08 17:00:00,1263.0
186,2016-02-08 18:00:00,631.0
187,2016-02-08 19:00:00,248.0
188,2016-02-08 20:00:00,131.0
189,2016-02-08 21:00:00,91.0
190,2016-02-08 22:00:00,71.0
191,2016-02-08 23:00:00,48.0
192,2016-02-09 00:00:00,35.0
193,2016-02-09 01:00:00,32.0
194,2016-02-09 02:00:00,29.0
195,2016-02-09 03:00:00,28.0
196,2016-02-09 04:00:00,54.0
197,2016-02-09 05:00:00,212.0
198,2016-02-09 06:00:00,780.0
199,2016-02-09 07:00:00,1503.0
200,2016-02-09 08:00:00,2065.0
201,2016-02-09 09:00:00,2233.0
202,2016-02-09 10:00:00,2259.0
203,2016-02-09 11:00:00,2256.0
204,2016-02-09 12:00:00,2227.0
205,2016-02-09 13:00:00,2245.0
206,2016-02-09 14:00:00,2219.0
207,2016-02-09 15:00:00,2156.0
208,2016-02-09 16:00:00,1945.0
209,2016-02-09 17:00:00,1329.0
210,2016-02-09 18:00:00,666.0
211,2016-02-09 19:00:00,285.0
212,2016-02-09 20:00:00,146.0
213,2016-02-09 21:00:00,108.0
214,2016-02-09 22:00:00,80.0
215,2016-02-09 23:00:00,51.0
216,2016-02-10 00:00:00,45.0
217,2016-02-10 01:00:00,39.0
218,2016-02-10 02:00:00,37.0
219,2016-02-10 03:00:00,38.0
220,2016-02-10 04:00:00,58.0
221,2016-02-10 05:00:00,215.0
222,2016-02-10 06:00:00,775.0
223,2016-02-10 07:00:00,1491.0
224,2016-02-10 08:00:00,2061.0
225,2016-02-10 09:00:00,2235.0
226,2016-02-10 10:00:00,2264.0
227,2016-02-10 11:00:00,2250.0
228,2016-02-10 12:00:00,2220.0
229,2016-02-10 13:00:00,2236.0
230,2016-02-10 14:00:00,2224.0
231,2016-02-10 15:00:00,2140.0
232,2016-02-10 16:00:00,1926.0
233,2016-02-10 17:00:00,1352.0
234,2016-02-10 18:00:00,730.0
235,2016-02-10 19:00:00,318.0
236,2016-02-10 20:00:00,164.0
237,2016-02-10 21:00:00,123.0
238,2016-02-10 22:00:00,81.0
239,2016-02-10 23:00:00,58.0
240,2016-02-11 00:00:00,45.0
241,2016-02-11 01:00:00,40.0
242,2016-02-11 02:00:00,38.0
243,2016-02-11 03:00:00,40.0
244,2016-02-11 04:00:00,59.0
245,2016-02-11 05:00:00,214.0
246,2016-02-11 06:00:00,750.0
247,2016-02-11 07:00:00,1439.0
248,2016-02-11 08:00:00,1990.0
249,2016-02-11 09:00:00,2146.0
250,2016-02-11 10:00:00,2192.0
251,2016-02-11 11:00:00,2204.0
252,2016-02-11 12:00:00,2171.0
253,2016-02-11 13:00:00,2193.0
254,2016-02-11 14:00:00,2156.0
255,2016-02-11 15:00:00,2085.0
256,2016-02-11 16:00:00,1855.0
257,2016-02-11 17:00:00,1255.0
258,2016-02-11 18:00:00,630.0
259,2016-02-11 19:00:00,271.0
260,2016-02-11 20:00:00,140.0
261,2016-02-11 21:00:00,97.0
262,2016-02-11 22:00:00,70.0
263,2016-02-11 23:00:00,51.0
264,2016-02-12 00:00:00,43.0
265,2016-02-12 01:00:00,37.0
266,2016-02-12 02:00:00,33.0
267,2016-02-12 03:00:00,34.0
268,2016-02-12 04:00:00,47.0
269,2016-02-12 05:00:00,141.0
270,2016-02-12 06:00:00,453.0
271,2016-02-12 07:00:00,977.0
272,2016-02-12 08:00:00,1422.0
